ultimate_parent_rcid,firm_name,ever_genai,first_genai_date,total_postings,total_genai_integrator_posts,first_post_date,last_post_date,share_genai_integrator_posts,active_days
93426666,CEVA,1,2022-02-07,412,5,2022-01-06,2024-12-26,0.012135922330097087,1085
262458,Klook Travel Technology Ltd.,1,2023-10-18,411,13,2022-01-11,2024-11-20,0.031630170316301706,1044
7721962,Day One,1,2023-10-27,410,1,2022-01-16,2024-12-12,0.0024390243902439024,1061
1006288,Federal Aviation Administration,1,2022-08-18,409,13,2022-01-11,2024-12-14,0.03178484107579462,1068
7375,"Sheraton Hotels & Resorts, Inc.",1,2022-06-23,408,8,2022-01-03,2024-12-26,0.0196078431372549,1088
6526876,Talent-Merge Pte Ltd,1,2022-09-08,408,6,2022-01-11,2024-12-30,0.014705882352941176,1084
4843476,MaritimeONE Connect Office,1,2022-10-16,406,1,2022-04-12,2023-10-09,0.0024630541871921183,545
2308419,Benchmark Staffing Solutions,1,2024-10-07,403,1,2022-01-09,2024-12-30,0.0024813895781637717,1086
5653150,PRIME SUPERMARKET LIMITED,1,2022-06-10,402,3,2022-01-03,2024-12-27,0.007462686567164179,1089
356693,Movement for the Intellectually Disabled of Singapore,1,2024-01-31,402,2,2022-01-04,2024-12-24,0.004975124378109453,1085
721766,Sime Darby Bhd.,1,2022-11-18,401,3,2022-01-28,2024-12-05,0.007481296758104738,1042
22225432,Capella Hotel Group Asia Pte Ltd.,1,2022-02-01,400,8,2022-01-01,2024-12-11,0.02,1075
58364,COMPANY,1,2022-05-25,400,9,2022-02-24,2024-10-14,0.0225,963
680517,DSV A/S,1,2022-02-10,395,11,2022-01-10,2024-12-24,0.027848101265822784,1079
23612121,Avatar Techno Services Pte Ltd.,1,2024-11-22,394,2,2022-01-04,2024-12-12,0.005076142131979695,1073
5746871,Quintessential Education,1,2022-12-28,394,11,2022-01-03,2024-12-27,0.027918781725888325,1089
7660207,ALLIED SEARCH PTE.LTD.,1,2024-12-06,394,2,2023-05-05,2024-12-12,0.005076142131979695,587
